wrkstat,occ,prestige,wrkslf,occ80,prestg80,marital,agewed,divorce,widowed,spocc,sppres,spwrkslf,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,family16,income,rincome,size,polviews,natarms,natfare,eqwlth,russia,japan,england,china,relig,fund,attend,relig16,fund16,sprel,spfund,sprel16,spfund16,racseg,happy,hapmar,health,life,trust,satcity,sathobby,satfam,satfrnd,sathealt,jobinc,jobsec,jobhour,jobpromo,jobmeans,rank,fepol,fecare,abnomore,abpoor,absingle,chldmore,tvhours,memnum,year
8,0,0,0,0,0,5,0,0,0,0,0,0,22,12,98,13,97,1,8,1,7,2,1,6,2,3,12,0,7895,2,3,8,4,7,4,2,7,4,3,0,9,9,0,0,0,0,0,2,0,0,0,1,4,3,5,2,6,0,0,0,0,0,0,2,0,1,1,1,1,5,0,83
7,0,0,0,0,0,1,17,2,0,280,34,2,39,12,98,12,16,1,8,1,4,2,1,6,0,1,2,0,7895,2,8,1,1,-1,-1,-1,-1,3,3,8,3,3,3,3,3,3,0,2,2,0,0,2,5,3,6,6,2,0,0,0,0,0,0,1,0,2,2,2,2,0,0,83
1,280,34,1,0,0,1,29,2,0,372,46,2,66,16,8,0,14,3,0,0,1,1,1,6,2,1,12,12,7895,4,3,1,6,6,4,4,6,3,3,1,3,3,3,3,3,3,0,1,1,0,0,2,4,1,2,2,2,0,0,0,0,0,0,1,0,1,1,1,2,3,2,83
1,343,45,2,0,0,2,18,1,0,0,0,0,48,12,97,8,97,1,7,0,7,2,1,6,2,5,12,12,7895,2,3,3,6,7,9,8,8,2,2,2,2,2,0,0,0,0,0,2,0,0,0,1,3,4,1,1,2,0,0,0,0,0,0,1,0,1,1,1,2,1,1,83
7,372,46,2,0,0,1,23,2,0,245,50,2,47,12,13,12,16,1,1,1,3,2,1,6,2,1,12,0,7895,0,2,2,4,4,0,0,4,2,2,6,2,2,2,2,2,2,0,2,2,0,0,0,3,3,3,3,1,0,0,0,0,0,4,1,2,2,2,2,2,2,4,83
6,0,0,0,0,0,3,23,0,0,0,0,0,32,14,97,12,97,1,7,1,7,2,1,4,2,7,2,0,7895,4,1,3,8,4,7,3,8,2,2,1,2,2,0,0,0,0,0,1,0,0,0,2,3,2,2,5,4,0,0,0,0,0,0,1,0,2,2,8,1,3,3,83
1,473,37,2,0,0,1,20,2,0,395,36,2,44,12,97,12,12,0,7,1,1,1,2,6,0,5,10,9,7895,0,2,2,1,9,9,0,0,2,2,0,2,2,2,2,2,2,0,3,1,0,0,0,6,6,2,2,5,0,0,0,0,0,8,2,1,2,2,2,2,3,1,83
8,703,32,2,0,0,4,40,0,0,0,0,0,58,11,98,12,97,0,0,1,7,1,2,6,2,1,5,0,7895,2,1,1,1,-1,-1,0,-1,1,3,0,1,3,0,0,0,0,0,3,0,0,0,2,6,6,6,7,7,0,0,0,0,0,0,2,0,1,1,1,3,14,3,83
7,0,0,0,0,0,2,20,2,0,0,0,0,58,2,98,98,97,0,8,8,7,2,1,4,0,1,98,0,66,5,3,3,1,2,7,0,3,2,2,3,2,2,0,0,0,0,0,3,0,0,0,3,4,6,1,2,2,0,0,0,0,0,0,2,0,2,2,1,2,1,0,83
1,394,36,2,0,0,5,0,0,0,0,0,0,23,14,19,12,97,1,4,1,7,2,1,3,2,1,9,9,66,0,1,3,5,5,0,2,1,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,2,2,3,2,2,0,0,0,0,0,3,2,3,1,1,1,1,1,1,83
7,755,23,2,0,0,2,25,2,0,0,0,0,73,8,97,8,97,0,7,0,7,2,1,3,0,5,8,0,66,4,2,2,3,9,2,3,6,1,2,3,1,2,0,0,0,0,0,2,0,0,0,1,2,2,4,5,2,0,0,0,0,0,0,1,0,1,1,1,2,2,1,83
2,982,25,2,0,0,1,25,2,0,492,35,1,37,12,12,10,16,1,1,0,3,2,1,1,2,1,9,1,66,4,3,2,2,4,2,0,3,1,2,3,1,2,2,2,2,2,0,2,2,0,0,2,3,2,2,2,2,0,0,0,0,0,0,2,0,1,1,1,2,3,2,83
7,235,61,2,0,0,1,22,2,0,202,72,2,33,14,12,12,16,2,1,1,3,2,1,3,2,1,12,0,66,0,3,2,6,7,4,2,6,1,3,6,2,2,1,3,2,2,0,1,1,0,0,0,4,3,1,2,2,0,0,0,0,0,5,2,1,2,2,2,2,3,2,83
7,643,19,2,0,0,2,21,2,0,0,0,0,75,8,98,98,97,0,8,0,7,2,1,6,2,1,4,0,66,4,2,3,1,-1,-1,-1,-1,1,2,6,2,2,0,0,0,0,0,2,0,0,0,2,1,2,5,1,4,0,0,0,0,0,0,1,0,1,1,8,2,10,3,83
7,0,0,0,0,0,1,22,2,0,2,71,2,70,10,12,98,16,0,1,0,3,2,1,6,2,1,11,0,66,0,1,3,6,3,3,0,0,1,2,0,1,2,1,2,1,2,0,2,1,0,0,0,1,3,1,1,5,0,0,0,0,0,5,2,3,1,1,1,2,4,0,83
1,32,55,2,0,0,1,32,2,0,0,0,0,37,18,12,12,16,4,8,1,3,1,1,6,2,3,12,12,66,2,3,1,2,4,1,2,3,3,3,3,3,3,3,3,3,3,0,2,2,0,0,1,6,3,2,2,4,0,0,0,0,0,0,2,0,1,1,1,2,3,3,83
1,173,47,2,0,0,1,25,2,0,81,61,2,52,12,7,12,13,1,0,1,1,1,1,1,2,1,12,10,66,0,1,3,4,9,9,4,8,2,2,1,1,3,2,2,2,2,0,3,2,0,0,0,2,4,2,3,3,0,0,0,0,0,3,1,3,1,1,1,2,5,4,83
7,391,41,2,0,0,1,19,2,0,471,48,2,46,12,12,97,12,1,1,7,1,2,1,6,2,4,98,0,66,4,3,2,1,9,1,1,1,2,2,6,2,2,2,2,2,2,0,2,1,0,0,2,1,4,2,5,4,0,0,0,0,0,0,2,0,2,2,2,3,12,2,83
7,671,29,2,0,0,1,21,2,0,715,32,2,77,8,98,98,8,0,8,8,0,2,1,6,2,1,8,0,66,4,2,3,6,4,2,0,2,2,2,6,2,2,2,2,2,2,0,2,2,0,0,2,1,2,1,1,4,0,0,0,0,0,0,1,0,2,2,2,2,4,1,83
7,441,45,1,0,0,2,21,2,0,0,0,0,76,9,8,8,97,0,0,0,7,2,1,6,2,1,9,0,7895,6,1,3,3,9,3,2,9,1,2,7,1,2,0,0,0,0,0,2,0,0,0,2,2,1,2,2,2,0,0,0,0,0,0,1,0,2,1,1,2,6,1,83
7,391,41,2,0,0,1,23,1,0,205,50,2,60,14,97,16,15,1,7,3,1,2,1,6,2,5,10,0,7895,0,3,2,5,9,9,3,1,3,3,0,3,3,3,3,3,3,0,2,2,0,0,0,4,2,3,3,4,0,0,0,0,0,6,1,3,2,2,2,2,6,1,83
2,265,47,2,0,0,1,28,2,0,192,57,2,38,18,18,14,18,4,4,1,4,2,1,6,2,1,12,3,7895,0,2,8,5,6,5,8,-1,2,2,2,2,2,1,3,1,3,0,1,1,0,0,0,1,2,2,2,1,0,0,0,0,0,2,8,2,1,1,1,3,0,0,83
1,602,27,2,0,0,1,16,2,0,694,32,2,41,9,98,98,98,0,8,8,8,2,1,3,0,1,3,1,7895,1,9,2,6,6,7,1,8,2,2,7,2,2,2,2,2,2,0,2,1,0,0,2,1,5,1,6,1,0,0,0,0,0,0,8,0,2,2,2,2,6,0,83
1,510,30,1,0,0,5,0,0,0,0,0,0,42,8,97,4,97,0,7,0,7,1,1,2,0,5,7,7,8,0,3,8,4,9,3,0,7,2,2,3,2,2,0,0,0,0,0,2,0,0,0,0,5,5,7,5,5,0,0,0,0,0,5,1,3,2,8,2,3,3,0,83
2,345,45,2,0,0,1,20,2,0,602,27,2,35,12,8,11,8,1,0,0,0,2,1,3,2,1,12,3,8,0,8,3,1,5,2,4,4,1,1,0,2,2,2,2,2,2,0,2,1,0,0,0,4,4,2,1,3,0,0,0,0,0,5,1,3,2,1,1,2,3,0,83
1,663,25,2,0,0,1,19,1,0,680,40,2,35,12,9,8,7,0,1,0,0,2,2,3,0,1,12,8,8,0,2,3,1,5,1,1,4,1,1,0,1,3,1,1,1,1,0,3,1,0,0,0,2,4,1,1,1,0,0,0,0,0,8,2,1,1,1,1,2,3,2,83
7,925,36,2,0,0,3,22,0,0,0,0,0,34,12,14,12,97,1,1,1,7,2,1,5,2,1,8,8,8,2,3,1,3,7,4,4,4,2,2,7,2,2,0,0,0,0,0,2,0,0,0,2,4,3,3,3,2,0,0,0,0,0,0,2,0,1,1,1,2,8,2,83
7,310,31,2,0,0,4,18,0,0,0,0,0,25,12,10,13,97,1,0,1,7,2,1,3,2,1,9,0,8,0,2,1,1,7,2,1,9,2,2,6,2,2,0,0,0,0,0,3,0,0,0,0,5,3,2,2,2,0,0,0,0,0,5,2,3,1,1,1,1,4,0,83
8,915,20,2,0,0,4,20,0,0,0,0,0,57,12,97,9,97,1,7,0,7,2,2,6,5,7,8,0,8,5,3,1,1,8,3,4,2,1,1,4,1,1,0,0,0,0,0,3,0,0,0,2,4,2,2,2,7,0,0,0,0,0,0,2,0,1,1,1,2,2,0,83
1,76,37,2,0,0,3,19,0,0,0,0,0,34,12,13,12,97,1,1,1,7,2,1,1,0,3,8,8,8,0,8,3,7,2,4,4,1,2,2,4,2,2,0,0,0,0,0,2,0,0,0,0,1,7,2,2,2,0,0,0,0,0,5,2,2,2,2,2,3,2,0,83
